,hit_rate,precision,recall,f1_score,n_transacciones
content,0.07927155865024103,0.008807950961137893,0.04320652156067794,0.01341421185699005,16803.0
co_purchase,0.5181812771528894,0.0766504516861596,0.2979120874993379,0.11133664630304979,16803.0
co_quotation,0.3917790622992935,0.05656125434545473,0.21208412220757206,0.08095755643108038,6228.0
hybrid,0.5181812771528894,0.07490924239719098,0.2979120874993379,0.10982790786340614,16803.0
